competition,season,sport,country,broadcaster,note,confidence
NBA,2026-27,Basketball,GB,Sky Sports,Moved from TNT Sports — confirm season — season not verified,verify
NBA,2026-27,Basketball,GB,NBA League Pass,All games — season not verified,verify
EuroLeague,2026-27,Basketball,GB,DAZN,Confirm current holder — season not verified,verify
UEFA Champions League,2026-27,Football,TR,TRT Spor,Selected matches — season not verified,verify
UEFA Champions League,2026-27,Football,TR,Tabii,Full coverage — season not verified,verify
UEFA Europa League,2026-27,Football,TR,Tabii,Full coverage — season not verified,verify
UEFA Conference League,2026-27,Football,TR,Tabii,Full coverage — season not verified,verify
Premier League,2026-27,Football,TR,S Sport,Full coverage — season not verified,verify
Premier League,2026-27,Football,TR,S Sport Plus,Streaming simulcast — season not verified,verify
La Liga,2026-27,Football,TR,S Sport,Full coverage — season not verified,verify
Serie A,2026-27,Football,TR,S Sport,Full coverage — season not verified,verify
Bundesliga,2026-27,Football,TR,S Sport,Full coverage — season not verified,verify
Ligue 1,2026-27,Football,TR,S Sport,Full coverage — season not verified,verify
NBA,2026-27,Basketball,TR,S Sport,Selected games — season not verified,verify
NBA,2026-27,Basketball,TR,NBA League Pass,All games — season not verified,verify
EuroLeague,2026-27,Basketball,TR,S Sport,Full coverage — season not verified,verify
Coppa Italia,2026-27,Football,TR,S Sport,Selected ties — season not verified,verify
Copa del Rey,2026-27,Football,TR,S Sport,Selected ties — season not verified,verify
DFB-Pokal,2026-27,Football,TR,S Sport,Selected ties — season not verified,verify
Coupe de France,2026-27,Football,TR,S Sport,Selected ties — season not verified,verify
